K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2007,89.47 ,77.78 ,96.15 ,90.48 , , ,95.33 ,86.96 , , ,94.74 ,96.30 , , ,*, , , ,96.00 , , ,87.50 ,93.60 , , , ,93.68 ,95.24 ,100.00 ,92.31 ,95.24 , , ,90.10 ,87.50 , , ,87.50 ,76.00 , , ,*, , , ,95.65 , , ,75.00 ,91.62 , , , ,90.75
 ,2006,100.00 ,*,95.74 ,100.00 , , ,92.22 ,100.00 , , ,96.05 ,95.83 , , ,91.67 , , , ,82.86 , , ,100.00 ,96.28 , , , ,94.85 ,90.91 ,*,89.58 ,93.75 , , ,89.66 ,88.24 , , ,93.06 ,92.00 , , ,92.31 , , , ,85.29 , , ,100.00 ,93.00 , , , ,91.49
 ,2005,100.00 ,90.00 ,97.87 ,95.24 , , ,94.03 ,100.00 , , ,94.03 ,96.15 , , ,100.00 , , , ,94.74 , , ,* ,95.00 , , , ,95.29 ,87.50 ,100.00 ,95.83 ,90.91 , , ,82.81 ,88.89 , , ,98.18 ,87.50 , , ,*, , , ,100.00 , , ,* ,92.02 , , , ,91.95
 ,2004,92.90 ,87.50 ,100.00 ,100.00 , , ,94.90 ,100.00 , , ,96.90 ,100.00 , , ,85.70 , , , ,95.00 , , ,* ,94.00 , , , ,95.67 ,* ,70.00 ,93.00 ,81.50 , , ,83.60 ,91.70 , , ,98.20 ,87.50 , , ,85.70 , , , ,89.50 , , ,* ,91.50 , , , ,89.24
Lakehead University ,2021,100.00 ,,93.02 ,80.00 ,,98.43 ,96.36 ,100.00 , ,100.00 ,80.00 ,,96.00 ,95.83 ,, ,100.00 ,,95.24 , ,,100.00 ,95.04 ,, , ,96.22 ,88.24 ,,92.68 ,60.00 ,,99.20 ,86.49 ,100.00 , ,100.00 ,86.67 ,,90.91 ,100.00 ,, ,100.00 ,,95.24 , ,,100.00 ,91.54 ,, , ,93.39
 ,2020,100.00 , ,100.00 ,* , ,96.67 ,97.69 ,* , ,100.00 ,100.00 , ,93.10 , ,*, ,100.00 , ,97.37 , , ,100.00 ,96.32 , , , ,97.37 ,100.00 , ,94.64 ,* , ,94.38 ,73.17 ,* , ,100.00 ,93.75 , ,92.59 , ,*, ,98.41 , ,81.08 , , ,* ,86.67 , , , ,87.78
 ,2019,100.00 , ,97.96 ,100.00 , ,98.77 ,94.85 ,* , ,92.31 ,80.00 , ,96.97 , ,*, ,98.39 , ,92.00 , , ,* ,95.51 , , , ,96.29 ,100.00 , ,95.92 ,100.00 , ,96.20 ,85.26 ,* , ,84.62 ,100.00 , ,96.97 , ,*, ,98.44 , ,83.33 , , ,* ,94.04 , , , ,93.24
 ,2018,90.91 , ,97.56 ,100.00 , ,93.52 ,92.77 ,100.00 , ,100.00 ,90.91 , ,91.67 , ,75.00 , ,100.00 , ,93.33 , , ,80.00 ,93.97 , , , ,94.51 ,100.00 , ,93.02 ,100.00 , ,93.27 ,92.86 ,100.00 , ,90.91 ,91.67 , ,100.00 , ,100.00 , ,97.22 , ,86.21 , , ,100.00 ,92.17 , , , ,93.59
 ,2017,100.00 , ,100.00 ,100.00 , ,99.11 ,96.39 ,71.43 , ,100.00 ,82.35 , ,100.00 , ,100.00 , ,100.00 , ,97.22 , , ,90.91 ,98.69 , , , ,97.66 ,94.12 , ,100.00 , , ,93.52 ,85.54 ,85.71 , ,100.00 ,88.24 , ,100.00 , ,100.00 , ,94.83 , ,94.29 , , ,100.00 ,94.59 , , , ,93.81
 ,2016,94.12 , ,100.00 ,* , ,95.24 ,96.33 ,100.00 , ,87.50 ,100.00 , ,100.00 , , , ,97.47 , ,96.88 , , ,100.00 ,95.17 , , , ,96.66 ,100.00 , ,97.73 ,* , ,92.68 ,83.65 ,* , ,100.00 ,100.00 , ,94.74 , , , ,95.12 , ,85.19 , , ,80.00 ,93.10 , , , ,92.19
